campanha,tipo_campanha,canal,grupo
CRM_REST_AQUISICAO_CRM_BASE_CHURN_12_23M_4_11_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_BASE_CHURN_12_23M_5_11_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_BASE_CHURN_24M_5_11_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_BASE_CHURN_24M_6_11_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_BASE_CHURN_6-11M_3_11_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_BASE_CNAE_24_10_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_BASE_CPF_24_10_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_BASE_ERRO_FORMS_INCOMPLET_13_12_2022_WHATSAPP,CRM Abandono,CRM,CRM
CRM_Rest_Aquisicao_CRM_base_SC1_28_06,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_BASEABANDONO_PT1_25_10_2022_WHATSAPP,CRM Abandono,CRM,CRM
CRM_REST_AQUISICAO_CRM_BASEABANDONO_PT2_26_10_2022_WHATSAPP,CRM Abandono,CRM,CRM
CRM_REST_AQUISICAO_CRM_BASEDEABANDONO2SEMANA4_29_9_2022_WHATSAPP,CRM Abandono,CRM,CRM
CRM_REST_AQUISICAO_CRM_BLACK_FRIDAY_SSI_10_10_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_BLACK_FRIDAY_SSIMIDIA_10_10_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_CHURN_12_A_23M_PARTE_1_11_11_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_CHURN_12_A_23M_PARTE_2_12_11_2022_WHATSAPP,CRM Churn,CRM,CRM
